Gene,Hw1-5a,Hw1-5b,Hw1-5c,Hw2-5a,Hw2-5b,Hw2-5c,Wt1-5a,Wt1-5b,Wt1-5c,Wt2-5a,Wt2-5b,Wt2-5c
acuI,9,18,45,44,30,25,16,22,34,14,27,28
Acy1,39,19,33,36,18,14,9,13,22,5,9,0
ada,401,379,655,576,563,321,142,289,308,137,159,123
Adamts20,167,152,241,186,169,107,119,147,288,102,146,130
ADAMTS9,10,1,5,2,3,2,6,12,32,10,17,8
ADCY10,187,286,556,414,407,216,112,232,209,93,122,125
ADE1,33,40,125,123,183,47,25,57,36,15,16,15
ADGB,15,19,29,241,206,60,48,79,127,45,54,33
ADGRB3,20,10,33,38,63,9,5,12,20,0,7,3
adhA,158,97,177,174,190,123,33,84,83,41,54,26
adhC2,114,83,175,147,163,59,49,61,92,36,43,47
adhT,111,94,151,118,152,98,30,35,77,22,42,29
ADJ80_02965,35,10,43,26,29,16,12,16,20,7,18,11
ADK,389,231,718,425,808,199,127,246,214,84,90,79
ADK2,4,1,3,3,3,3,18,21,41,15,19,22
ADL1,34,34,47,72,76,31,23,24,21,11,10,1
Adprm,336,216,469,263,357,179,107,268,241,82,132,85
adrm1b,73,48,74,76,86,37,11,50,58,12,21,18
ADS3,257,222,344,319,289,204,108,151,264,115,142,127
AFC1,29,11,30,22,31,19,5,7,16,2,6,6
AFUA_2G14360,9,11,22,31,36,13,7,24,26,8,9,2
AG118,6,1,7,11,8,3,9,14,29,4,16,0
agaA,72,69,138,41,38,40,48,60,106,33,55,31
agaB34,140,98,190,105,135,68,52,58,96,39,38,18
AGAL3,96,60,122,116,121,73,37,63,141,52,62,48
AGAP006244,164,195,277,257,236,155,88,166,262,100,117,78
Agbl1,2,4,3,11,14,4,10,7,10,6,4,10
Agbl5,99,100,183,123,165,59,48,41,51,22,32,21
AGD12,125,80,140,161,157,92,46,69,121,41,61,56
AGL,25,23,56,36,35,33,21,24,49,17,30,19
AGL188W,46,28,64,24,45,18,6,12,9,6,11,1
aglC,30,16,25,18,16,7,6,62,60,24,30,6
ags1,0,0,1,4,7,1,4,2,1,1,0,0
AIDA,37,42,56,59,64,43,19,44,61,23,31,17
